Hecho Punible,Dpto,Denunciado,Aclarado,Semestre,Mes
LESION CULPOSA EN ACC. DE TTO.,Caaguazu,29,28,1,Mayo
LESION,Caaguazu,9,3,1,Mayo
ROBO DE OBJETOS,Caaguazu,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Caaguazu,6,0,1,Mayo
ROBO DE VEHICULOS,Caaguazu,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Caaguazu,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Caaguazu,5,1,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Caaguazu,2,0,1,Mayo
ABIGEATO,Caazapa,11,3,1,Mayo
COACCION SEXUAL,Caazapa,0,0,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Caazapa,1,1,1,Mayo
HOMICIDIO DOLOSO,Caazapa,1,1,1,Mayo
HURTO,Caazapa,0,0,1,Mayo
HURTO AGRAVADO,Caazapa,2,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Caazapa,5,5,1,Mayo
LESION,Caazapa,6,3,1,Mayo
ROBO DE OBJETOS,Caazapa,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Caazapa,4,0,1,Mayo
ROBO DE VEHICULOS,Caazapa,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Caazapa,1,0,1,Mayo
ROBO DE MOTOCICLETAS,Caazapa,4,1,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Caazapa,0,0,1,Mayo
ABIGEATO,Guaira,3,0,1,Mayo
COACCION SEXUAL,Guaira,1,1,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Guaira,2,2,1,Mayo
HOMICIDIO DOLOSO,Guaira,2,0,1,Mayo
HURTO,Guaira,1,0,1,Mayo
HURTO AGRAVADO,Guaira,4,1,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Guaira,6,5,1,Mayo
LESION,Guaira,3,1,1,Mayo
ROBO DE OBJETOS,Guaira,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Guaira,0,0,1,Mayo
ROBO DE VEHICULOS,Guaira,1,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Guaira,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Guaira,4,2,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Guaira,0,0,1,Mayo
ABIGEATO,Alto Parana,2,1,1,Mayo
COACCION SEXUAL,Alto Parana,3,2,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Parana,1,1,1,Mayo
HOMICIDIO DOLOSO,Alto Parana,7,4,1,Mayo
HURTO,Alto Parana,8,3,1,Mayo
HURTO AGRAVADO,Alto Parana,5,2,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Alto Parana,14,13,1,Mayo
LESION,Alto Parana,19,8,1,Mayo
ROBO DE OBJETOS,Alto Parana,8,1,1,Mayo
ROBO AGRAVADO DE OBJETOS,Alto Parana,12,1,1,Mayo
ROBO DE VEHICULOS,Alto Parana,2,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Alto Parana,2,1,1,Mayo
ROBO DE MOTOCICLETAS,Alto Parana,6,1,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Alto Parana,3,0,1,Mayo
ABIGEATO,Itapua,9,2,1,Mayo
COACCION SEXUAL,Itapua,5,1,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Itapua,3,3,1,Mayo
HOMICIDIO DOLOSO,Itapua,3,2,1,Mayo
HURTO,Itapua,16,6,1,Mayo
HURTO AGRAVADO,Itapua,7,3,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Itapua,15,13,1,Mayo
LESION,Itapua,6,3,1,Mayo
ROBO DE OBJETOS,Itapua,2,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Itapua,7,0,1,Mayo
ROBO DE VEHICULOS,Itapua,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Itapua,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Itapua,5,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Itapua,4,2,1,Mayo
ABIGEATO,Canindeyu,0,0,1,Mayo
COACCION SEXUAL,Canindeyu,0,0,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Canindeyu,1,0,1,Mayo
HOMICIDIO DOLOSO,Canindeyu,1,0,1,Mayo
HURTO,Canindeyu,1,1,1,Mayo
HURTO AGRAVADO,Canindeyu,0,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Canindeyu,2,2,1,Mayo
LESION,Canindeyu,3,1,1,Mayo
ROBO DE OBJETOS,Canindeyu,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Canindeyu,7,1,1,Mayo
ROBO DE VEHICULOS,Canindeyu,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Canindeyu,1,1,1,Mayo
ROBO DE MOTOCICLETAS,Canindeyu,2,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Canindeyu,0,0,1,Mayo
ABIGEATO,Misiones,3,1,1,Mayo
COACCION SEXUAL,Misiones,0,0,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Misiones,1,1,1,Mayo
HOMICIDIO DOLOSO,Misiones,0,0,1,Mayo
HURTO,Misiones,1,0,1,Mayo
HURTO AGRAVADO,Misiones,2,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Misiones,5,5,1,Mayo
LESION,Misiones,1,1,1,Mayo
ROBO DE OBJETOS,Misiones,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Misiones,0,0,1,Mayo
ROBO DE VEHICULOS,Misiones,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Misiones,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Misiones,1,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Misiones,0,0,1,Mayo
ABIGEATO,Paraguari,13,3,1,Mayo
COACCION SEXUAL,Paraguari,1,0,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Paraguari,3,3,1,Mayo
HOMICIDIO DOLOSO,Paraguari,0,0,1,Mayo
HURTO,Paraguari,2,1,1,Mayo
HURTO AGRAVADO,Paraguari,8,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Paraguari,15,15,1,Mayo
LESION,Paraguari,0,0,1,Mayo
ROBO DE OBJETOS,Paraguari,1,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Paraguari,4,1,1,Mayo
ROBO DE VEHICULOS,Paraguari,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Paraguari,1,1,1,Mayo
ROBO DE MOTOCICLETAS,Paraguari,2,1,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Paraguari,0,0,1,Mayo
ABIGEATO,Ñeembucu,5,2,1,Mayo
COACCION SEXUAL,Ñeembucu,2,2,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Ñeembucu,1,1,1,Mayo
HOMICIDIO DOLOSO,Ñeembucu,0,0,1,Mayo
HURTO,Ñeembucu,2,1,1,Mayo
HURTO AGRAVADO,Ñeembucu,0,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Ñeembucu,6,6,1,Mayo
LESION,Ñeembucu,0,0,1,Mayo
ROBO DE OBJETOS,Ñeembucu,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Ñeembucu,0,0,1,Mayo
ROBO DE VEHICULOS,Ñeembucu,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Ñeembucu,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Ñeembucu,4,1,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Ñeembucu,0,0,1,Mayo
ABIGEATO,Boqueron,0,0,1,Mayo
COACCION SEXUAL,Boqueron,1,1,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Boqueron,0,0,1,Mayo
HOMICIDIO DOLOSO,Boqueron,0,0,1,Mayo
HURTO,Boqueron,1,1,1,Mayo
HURTO AGRAVADO,Boqueron,2,2,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Boqueron,0,0,1,Mayo
LESION,Boqueron,1,1,1,Mayo
ROBO DE OBJETOS,Boqueron,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Boqueron,0,0,1,Mayo
ROBO DE VEHICULOS,Boqueron,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Boqueron,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Boqueron,0,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Boqueron,0,0,1,Mayo
ABIGEATO,Presidente Hayes,0,0,1,Mayo
COACCION SEXUAL,Presidente Hayes,1,1,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Presidente Hayes,1,1,1,Mayo
HOMICIDIO DOLOSO,Presidente Hayes,1,1,1,Mayo
HURTO,Presidente Hayes,3,2,1,Mayo
HURTO AGRAVADO,Presidente Hayes,0,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Presidente Hayes,0,0,1,Mayo
LESION,Presidente Hayes,3,2,1,Mayo
ROBO DE OBJETOS,Presidente Hayes,1,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Presidente Hayes,0,0,1,Mayo
ROBO DE VEHICULOS,Presidente Hayes,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Presidente Hayes,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Presidente Hayes,1,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Presidente Hayes,0,0,1,Mayo
ABIGEATO,Asuncion,0,0,1,Junio
COACCION SEXUAL,Asuncion,3,2,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Asuncion,0,0,1,Junio
HOMICIDIO DOLOSO,Asuncion,7,2,1,Junio
HURTO,Asuncion,20,7,1,Junio
HURTO AGRAVADO,Asuncion,16,6,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Asuncion,21,21,1,Junio
LESION,Asuncion,10,8,1,Junio
ROBO DE OBJETOS,Asuncion,5,4,1,Junio
ROBO AGRAVADO DE OBJETOS,Asuncion,7,1,1,Junio
ROBO DE VEHICULOS,Asuncion,23,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Asuncion,0,0,1,Junio
ROBO DE MOTOCICLETAS,Asuncion,78,2,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Asuncion,0,0,1,Junio
ABIGEATO,Central,1,0,1,Junio
COACCION SEXUAL,Central,20,16,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Central,8,7,1,Junio
HOMICIDIO DOLOSO,Central,4,4,1,Junio
HURTO,Central,40,17,1,Junio
HURTO AGRAVADO,Central,36,10,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Central,61,59,1,Junio
LESION,Central,33,14,1,Junio
ROBO DE OBJETOS,Central,15,5,1,Junio
ROBO AGRAVADO DE OBJETOS,Central,58,8,1,Junio
ROBO DE VEHICULOS,Central,20,2,1,Junio
ROBO AGRAVADO DE VEHICULOS,Central,4,0,1,Junio
ROBO DE MOTOCICLETAS,Central,80,3,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Central,18,0,1,Junio
ABIGEATO,Cordillera,4,0,1,Junio
COACCION SEXUAL,Cordillera,5,2,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Cordillera,3,3,1,Junio
HOMICIDIO DOLOSO,Cordillera,0,0,1,Junio
HURTO,Cordillera,8,2,1,Junio
HURTO AGRAVADO,Cordillera,7,1,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Cordillera,15,14,1,Junio
LESION,Cordillera,2,0,1,Junio
ROBO DE OBJETOS,Cordillera,2,1,1,Junio
ROBO AGRAVADO DE OBJETOS,Cordillera,3,0,1,Junio
ROBO DE VEHICULOS,Cordillera,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Cordillera,2,0,1,Junio
ROBO DE MOTOCICLETAS,Cordillera,4,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Cordillera,0,0,1,Junio
ABIGEATO,Amambay,2,2,1,Junio
COACCION SEXUAL,Amambay,4,4,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Amambay,4,4,1,Junio
HOMICIDIO DOLOSO,Amambay,8,3,1,Junio
HURTO,Amambay,2,0,1,Junio
HURTO AGRAVADO,Amambay,2,1,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Amambay,15,12,1,Junio
LESION,Amambay,13,6,1,Junio
ROBO DE OBJETOS,Amambay,1,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Amambay,6,1,1,Junio
ROBO DE VEHICULOS,Amambay,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Amambay,0,0,1,Junio
ROBO DE MOTOCICLETAS,Amambay,2,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Amambay,2,0,1,Junio
ABIGEATO,Concepcion,1,1,1,Junio
COACCION SEXUAL,Concepcion,1,1,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Concepcion,4,4,1,Junio
HOMICIDIO DOLOSO,Concepcion,4,2,1,Junio
HURTO,Concepcion,0,0,1,Junio
HURTO AGRAVADO,Concepcion,3,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Concepcion,6,4,1,Junio
LESION,Concepcion,4,4,1,Junio
ROBO DE OBJETOS,Concepcion,4,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Concepcion,3,1,1,Junio
ROBO DE VEHICULOS,Concepcion,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Concepcion,0,0,1,Junio
ROBO DE MOTOCICLETAS,Concepcion,2,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Concepcion,2,0,1,Junio
ABIGEATO,Alto Paraguay,0,0,1,Junio
COACCION SEXUAL,Alto Paraguay,0,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Paraguay,0,0,1,Junio
HOMICIDIO DOLOSO,Alto Paraguay,1,0,1,Junio
HURTO,Alto Paraguay,0,0,1,Junio
HURTO AGRAVADO,Alto Paraguay,0,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Alto Paraguay,0,0,1,Junio
LESION,Alto Paraguay,1,0,1,Junio
ROBO DE OBJETOS,Alto Paraguay,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Alto Paraguay,0,0,1,Junio
ROBO DE VEHICULOS,Alto Paraguay,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Alto Paraguay,0,0,1,Junio
ROBO DE MOTOCICLETAS,Alto Paraguay,1,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Alto Paraguay,0,0,1,Junio
ABIGEATO,San Pedro,13,3,1,Junio
COACCION SEXUAL,San Pedro,1,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,San Pedro,7,5,1,Junio
HOMICIDIO DOLOSO,San Pedro,0,0,1,Junio
HURTO,San Pedro,2,0,1,Junio
HURTO AGRAVADO,San Pedro,3,1,1,Junio
LESION CULPOSA EN ACC. DE TTO.,San Pedro,12,12,1,Junio
LESION,San Pedro,7,3,1,Junio
ROBO DE OBJETOS,San Pedro,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,San Pedro,9,0,1,Junio
ROBO DE VEHICULOS,San Pedro,1,1,1,Junio
ROBO AGRAVADO DE VEHICULOS,San Pedro,0,0,1,Junio
ROBO DE MOTOCICLETAS,San Pedro,3,1,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,San Pedro,4,2,1,Junio
ABIGEATO,Caaguazu,3,0,1,Junio
COACCION SEXUAL,Caaguazu,0,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Caaguazu,3,3,1,Junio
HOMICIDIO DOLOSO,Caaguazu,0,0,1,Junio
HURTO,Caaguazu,2,2,1,Junio
HURTO AGRAVADO,Caaguazu,3,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Caaguazu,29,28,1,Junio
LESION,Caaguazu,15,9,1,Junio
ROBO DE OBJETOS,Caaguazu,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Caaguazu,8,1,1,Junio
ROBO DE VEHICULOS,Caaguazu,2,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Caaguazu,2,1,1,Junio
ROBO DE MOTOCICLETAS,Caaguazu,9,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Caaguazu,0,0,1,Junio
ABIGEATO,Caazapa,5,0,1,Junio
COACCION SEXUAL,Caazapa,0,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Caazapa,2,2,1,Junio
HOMICIDIO DOLOSO,Caazapa,0,0,1,Junio
HURTO,Caazapa,1,0,1,Junio
HURTO AGRAVADO,Caazapa,1,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Caazapa,5,5,1,Junio
LESION,Caazapa,1,0,1,Junio
ROBO DE OBJETOS,Caazapa,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Caazapa,2,0,1,Junio
ROBO DE VEHICULOS,Caazapa,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Caazapa,0,0,1,Junio
ROBO DE MOTOCICLETAS,Caazapa,4,1,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Caazapa,2,0,1,Junio
ABIGEATO,Guaira,6,1,1,Junio
COACCION SEXUAL,Guaira,0,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Guaira,3,3,1,Junio
HOMICIDIO DOLOSO,Guaira,3,0,1,Junio
HURTO,Guaira,5,3,1,Junio
HURTO AGRAVADO,Guaira,3,2,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Guaira,11,11,1,Junio
LESION,Guaira,5,5,1,Junio
ROBO DE OBJETOS,Guaira,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Guaira,1,0,1,Junio
ROBO DE VEHICULOS,Guaira,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Guaira,0,0,1,Junio
ROBO DE MOTOCICLETAS,Guaira,1,1,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Guaira,2,2,1,Junio
ABIGEATO,Alto Parana,2,0,1,Junio
COACCION SEXUAL,Alto Parana,7,2,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Parana,6,5,1,Junio
HOMICIDIO DOLOSO,Alto Parana,4,1,1,Junio
HURTO,Alto Parana,11,7,1,Junio
HURTO AGRAVADO,Alto Parana,10,1,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Alto Parana,13,10,1,Junio
LESION,Alto Parana,12,2,1,Junio
ROBO DE OBJETOS,Alto Parana,3,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Alto Parana,19,3,1,Junio
ROBO DE VEHICULOS,Alto Parana,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Alto Parana,2,1,1,Junio
ROBO DE MOTOCICLETAS,Alto Parana,8,1,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Alto Parana,4,0,1,Junio
ABIGEATO,Itapua,3,0,1,Junio
COACCION SEXUAL,Itapua,4,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Itapua,3,3,1,Junio
HOMICIDIO DOLOSO,Itapua,1,1,1,Junio
HURTO,Itapua,8,0,1,Junio
HURTO AGRAVADO,Itapua,5,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Itapua,11,11,1,Junio
LESION,Itapua,7,2,1,Junio
ROBO DE OBJETOS,Itapua,1,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Itapua,5,0,1,Junio
ROBO DE VEHICULOS,Itapua,3,2,1,Junio
ROBO AGRAVADO DE VEHICULOS,Itapua,0,0,1,Junio
ROBO DE MOTOCICLETAS,Itapua,13,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Itapua,0,0,1,Junio
ABIGEATO,Canindeyu,0,0,1,Junio
COACCION SEXUAL,Canindeyu,2,1,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Canindeyu,2,2,1,Junio
HOMICIDIO DOLOSO,Canindeyu,2,0,1,Junio
HURTO,Canindeyu,4,1,1,Junio
HURTO AGRAVADO,Canindeyu,4,1,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Canindeyu,0,0,1,Junio
LESION,Canindeyu,6,1,1,Junio
ROBO DE OBJETOS,Canindeyu,1,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Canindeyu,1,0,1,Junio
ROBO DE VEHICULOS,Canindeyu,1,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Canindeyu,0,0,1,Junio
ROBO DE MOTOCICLETAS,Canindeyu,1,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Canindeyu,1,0,1,Junio
ABIGEATO,Misiones,1,0,1,Junio
COACCION SEXUAL,Misiones,1,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Misiones,0,0,1,Junio
HOMICIDIO DOLOSO,Misiones,0,0,1,Junio
HURTO,Misiones,2,2,1,Junio
HURTO AGRAVADO,Misiones,0,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Misiones,4,4,1,Junio
LESION,Misiones,0,0,1,Junio
ROBO DE OBJETOS,Misiones,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Misiones,0,0,1,Junio
ROBO DE VEHICULOS,Misiones,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Misiones,0,0,1,Junio
ROBO DE MOTOCICLETAS,Misiones,0,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Misiones,0,0,1,Junio
ABIGEATO,Paraguari,10,6,1,Junio
COACCION SEXUAL,Paraguari,2,1,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Paraguari,1,1,1,Junio
HOMICIDIO DOLOSO,Paraguari,1,1,1,Junio
HURTO,Paraguari,7,1,1,Junio
HURTO AGRAVADO,Paraguari,4,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Paraguari,11,11,1,Junio
LESION,Paraguari,4,0,1,Junio
ROBO DE OBJETOS,Paraguari,2,2,1,Junio
ROBO AGRAVADO DE OBJETOS,Paraguari,0,0,1,Junio
ROBO DE VEHICULOS,Paraguari,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Paraguari,0,0,1,Junio
ROBO DE MOTOCICLETAS,Paraguari,2,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Paraguari,1,0,1,Junio
ABIGEATO,Ñeembucu,9,3,1,Junio
COACCION SEXUAL,Ñeembucu,1,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Ñeembucu,0,0,1,Junio
HOMICIDIO DOLOSO,Ñeembucu,0,0,1,Junio
HURTO,Ñeembucu,2,0,1,Junio
HURTO AGRAVADO,Ñeembucu,3,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Ñeembucu,12,12,1,Junio
LESION,Ñeembucu,1,0,1,Junio
ROBO DE OBJETOS,Ñeembucu,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Ñeembucu,0,0,1,Junio
ROBO DE VEHICULOS,Ñeembucu,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Ñeembucu,0,0,1,Junio
ROBO DE MOTOCICLETAS,Ñeembucu,1,0,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Ñeembucu,0,0,1,Junio
ABIGEATO,Boqueron,0,0,1,Junio
COACCION SEXUAL,Boqueron,0,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Boqueron,0,0,1,Junio
HOMICIDIO DOLOSO,Boqueron,0,0,1,Junio
HURTO,Boqueron,1,0,1,Junio
HURTO AGRAVADO,Boqueron,0,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Boqueron,1,1,1,Junio
LESION,Boqueron,0,0,1,Junio
ROBO DE OBJETOS,Boqueron,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Boqueron,0,0,1,Junio
ROBO DE VEHICULOS,Boqueron,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Boqueron,0,0,1,Junio
ROBO DE MOTOCICLETAS,Boqueron,1,1,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Boqueron,0,0,1,Junio
ABIGEATO,Presidente Hayes,0,0,1,Junio
COACCION SEXUAL,Presidente Hayes,0,0,1,Junio
HOMICIDIO CULPOSO EN ACC DE TTO.,Presidente Hayes,2,2,1,Junio
HOMICIDIO DOLOSO,Presidente Hayes,1,1,1,Junio
HURTO,Presidente Hayes,4,1,1,Junio
HURTO AGRAVADO,Presidente Hayes,1,0,1,Junio
LESION CULPOSA EN ACC. DE TTO.,Presidente Hayes,4,4,1,Junio
LESION,Presidente Hayes,0,0,1,Junio
ROBO DE OBJETOS,Presidente Hayes,0,0,1,Junio
ROBO AGRAVADO DE OBJETOS,Presidente Hayes,0,0,1,Junio
ROBO DE VEHICULOS,Presidente Hayes,0,0,1,Junio
ROBO AGRAVADO DE VEHICULOS,Presidente Hayes,0,0,1,Junio
ROBO DE MOTOCICLETAS,Presidente Hayes,4,2,1,Junio
ROBO AGRAVADO DE MOTOCICLETAS,Presidente Hayes,0,0,1,Junio
ABIGEATO,Asuncion,1,0,2,Julio
COACCION SEXUAL,Asuncion,2,2,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Asuncion,3,3,2,Julio
HOMICIDIO DOLOSO,Asuncion,3,2,2,Julio
HURTO,Asuncion,11,6,2,Julio
HURTO AGRAVADO,Asuncion,12,5,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Asuncion,12,12,2,Julio
LESION,Asuncion,12,9,2,Julio
ROBO DE OBJETOS,Asuncion,9,4,2,Julio
ROBO AGRAVADO DE OBJETOS,Asuncion,13,5,2,Julio
ROBO DE VEHICULOS,Asuncion,29,1,2,Julio
ROBO AGRAVADO DE VEHICULOS,Asuncion,0,0,2,Julio
ROBO DE MOTOCICLETAS,Asuncion,64,3,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Asuncion,0,0,2,Julio
ABIGEATO,Central,2,0,2,Julio
COACCION SEXUAL,Central,22,13,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Central,11,8,2,Julio
HOMICIDIO DOLOSO,Central,2,2,2,Julio
HURTO,Central,50,31,2,Julio
HURTO AGRAVADO,Central,37,11,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Central,62,60,2,Julio
LESION,Central,36,15,2,Julio
ROBO DE OBJETOS,Central,16,8,2,Julio
ROBO AGRAVADO DE OBJETOS,Central,51,12,2,Julio
ROBO DE VEHICULOS,Central,32,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Central,2,0,2,Julio
ROBO DE MOTOCICLETAS,Central,87,4,2,Julio
ROBO AGRAVADO DE MOTOCICLETAS,Central,15,0,2,Julio
ABIGEATO,Cordillera,7,1,2,Julio
COACCION SEXUAL,Cordillera,2,1,2,Julio
HOMICIDIO CULPOSO EN ACC DE TTO.,Cordillera,5,4,2,Julio
HOMICIDIO DOLOSO,Cordillera,1,1,2,Julio
HURTO,Cordillera,6,2,2,Julio
HURTO AGRAVADO,Cordillera,6,0,2,Julio
LESION CULPOSA EN ACC. DE TTO.,Cordillera,12,11,2,Julio
LESION,Cordillera,6,2,2,Julio
ROBO DE OBJETOS,Cordillera,1,0,2,Julio
ROBO AGRAVADO DE OBJETOS,Cordillera,4,0,2,Julio
ROBO DE VEHICULOS,Cordillera,1,0,2,Julio
ROBO AGRAVADO DE VEHICULOS,Cordillera,0,0,2,Julio
ROBO DE MOTOCICLETAS,Cordillera,6,0,2,Julio
